document_index,similarity_score,comment
0,1.0,değirmen su akı oluk
1,0.9256028292005467,beyaz
2,0.043205689264687666,ağabey
3,0.9455443480913781,yen
4,0.0,
5,0.042254283161818784,dom
6,0.9441044161234764,gerekmez ot topluluk
7,0.983016405135734,hayvan ilk süt
8,0.9771945167796318,bahçe ek kenar çalı çevir
9,0.5849280410602784,ağır
10,0.9729873368304508,pamuk iplik dokunan üzer hassas şey bulgur pamuk v
11,0.15563912943297745,öle
12,0.6651021670514943,i̇şte
13,0.6651021670514943,i̇şte
14,0.9516009153093758,ek meyil
15,0.9823164602086777,gittik yer kızar bir karı tür aart ayran yoğurt süt kullanılır
16,-0.02185536117757312,emanet
17,0.7164445913892907,düşünme gitmek
18,0.9741162947475005,serçe benzer bir kuş
19,0.9340642147060446,boş boş
20,0.0,
21,0.9589266401184928,ça ça kurulan yer
22,0.48488251495288465,i̇şçi yayl çadır
23,0.732708387734693,du etm
24,-0.02185536117757312,emanet
25,0.9645683222666033,tavuk yaş
26,0.9807715278582203,bir tür ağaç
27,0.33109755320706147,i̇mece
28,0.850693276434193,karş yamaç
29,-0.06907052535270664,ayşe
30,0.9785504352051708,durup kalmak bir dur karşı
31,0.27900094084478805,terte
32,0.92133316642683,alnı orta beyaz
33,0.02708667323208021,arzu
34,0.9322564730962917,giys çamaşır
35,0.7068621315381849,aşak
36,0.2592988134219831,şaşk şaşk
37,0.9718881155342975,ticari olmayan sebz bahçe
38,0.9679937927585945,dolm tüfek atış hazırlamak kullanılan kapsül saçm barut kurş
39,0.23920120406276246,yanak
40,0.9632016288749978,kat eş kar
41,0.9663648583711483,baş dönüyor halsiz
42,0.5717656645830178,soğuk
43,0.9749238698507701,bir bitki tür
44,0.9782436455431436,bir bitki eğrel ot
45,0.8853231025830337,tam ters aksi
46,0.3235828245717577,kızmak
47,0.8323973159476383,yiyecek
48,0.9064873200169599,han kız kardeş koca
49,0.853441463389312,bacak
50,0.38730250372549063,patlıcan
51,0.9212718795545642,han kız kardeş
52,-0.12856450588954202,yıldır
53,0.9801103876167265,koku kötü bir böcek
54,0.9761857342281953,bir çeşit serç
55,0.9671732456397243,eğim ağaçs yer
56,0.9829849555752865,yufk ekmek biraz kal olan sıcak bazlama yenilme hoş
57,0.9822576211270977,çe anlam kullanılan bir söz
58,0.9804166971015202,toprak kazma yarayan uç sivr kürek
59,0.7623989538979534,kurutul incir
60,0.49674262848052514,sarmak
61,0.958274381218243,atlar semer eğer çıkarıldık sonr üşümeme sırt bağlanan
62,0.9537785411690274,öğrenmek toprak kazmak
63,0.9597110874311268,sık fazl
64,0.9564320676594606,elin iyi iş gelen elin çabuk
65,0.22471811508871403,bedav
66,0.8796326505961618,geçen sen
67,0.685150690086265,hal
68,0.2860787310701176,tohumluk
69,0.7340523985966925,biraz
70,0.9811636938135255,bir
71,0.011267254540673323,güveç
72,0.9769841254953152,yayık ayran karıştırma yarayan çubuk
73,0.8632838651208887,önç
74,0.2242826611304755,sürahi
75,0.8982817728146109,camuz yavru
76,0.9576459089781332,çiftleş zaman gel diş inek
77,0.9729625398663782,i̇çinde giyecek v dol kal bez
78,0.9824056782508501,ek tarla ara ekilip sürül ot bol olan yer
79,0.9448911701553012,bağ bahçe
80,-0.15010437883933236,salatalık
81,0.7250592394081722,kül reng
82,-0.042082274517517435,takke
83,-0.09510198593265486,kapşon
84,0.9848008380327977,hayvan hızl koşma önlemek ik ayak birbir bağlayan ip
85,0.9112859865860106,kadar kadarcık
86,0.0795041729610219,sefer
87,0.47056065315287343,bunalmak
88,0.9706897990352226,uç kıvrık kesk bıçak
89,0.905012659208362,i̇nek yavru
90,0.20560685675214685,i̇neğin yavrulama
91,0.9646224363548779,erkek çocuk pipi
92,0.7020043410941069,i̇çine girilemeyen çalılık
93,0.9788892519433398,bir çeşit örümcek tür hayvan iğn atar
94,0.9897740591870854,su göle
95,-0.19589100306509055,çağlayan
96,0.9788777820966749,akarsuy ani ek neden hızl aktık yer şelale kadar dik değil
97,0.9897195651196019,su kar
98,0.7702264848124372,olgunlaş karpuz kavu
99,0.6579538830869008,laf kalabalık
100,0.973507524743991,büyük fare
101,0.9785916290025722,bir kumaş tür
102,0.9752054093136153,üzer olmayan kel
103,0.6866167295821732,soyul kel
104,0.3172389734934209,pınar kaynak
105,0.04673127164782866,i̇natlaşmak
106,0.9619027328998013,saman ayrıl fakat elen tahıl yık
107,0.6915318355903719,yepyen pırıl pırıl
108,0.9339650241469799,açıl tavuk
109,0.3163428085280906,çe
110,0.9182285871572988,dom yavru
111,-0.08941856499578402,ıslanmak
112,0.6510721735382679,böğürtlen çalılık
113,0.823445179708429,maden par
114,0.028043892696734747,tamamen
115,0.9285699163481421,bozul yumur
116,0.8994451987955032,kavgaç oyun bozan
117,0.9216712774941461,oyun bozmak
118,0.8547538723026702,aman dil em k
119,0.7141196748527068,ağustos böcek
120,0.9723938369030725,bir çeşit kuş tür
121,0.9750694140499935,tohum bir çeşit bitki
122,0.9761857342281953,bir çeşit serç
123,0.6057351216140462,tırnak iz
124,0.9547874604462743,sıv katı olmayan
125,-0.08968435709242605,tahtaravel
126,0.0570037472115269,çizg
127,0.9116546870360128,gevez yaramaz iyilik bilmez
128,0.934878562364241,maki bitki çeşi
129,0.028043892696734747,tamamen
130,0.9717660619659898,küçük helkecik
131,0.9199580931700593,i̇şe yaramaz
132,0.06054724376892894,baykuş
133,0.6419924443270681,hint
134,0.9660399845725821,kıs boyl
135,0.6598770335939513,sigar
136,0.3765385044481323,civciv
137,0.9714709852234832,hartlap ağaç meyve
138,0.3765467822945029,cevap
139,0.9792452200618675,genellik tarla temizlemek toplanan taş yık
140,0.8728204648414357,köz piş et
141,0.9792048525113709,yol çakıştık yer
142,-0.06226646632206044,melez
143,0.9841343938302716,kuş avlamak kullanılan lastik iç taş konulan der böl
144,0.9758676466758176,bir böcek tür
145,0.9730041781178698,oğlak büyük
146,0.8449006895848907,tek
147,-0.10175676903154603,çekirg
148,0.6532517185037101,ölçek
149,0.9766083595774291,tahta yapıl kg buğday alabilen tahıl ölçek
150,0.9710325699981651,pirinç tarla hali
151,0.5321931984508325,ceviz yarı
152,0.7168154772658126,bulaşık
153,0.9838368456636771,traktör römork üzer tahta ilave yapıl şekl bir çe saman
154,0.5609462696724132,fidan
155,0.9821036929454744,akarsu yatak büyük viraj neden suy bir sür ters akıp tekrar
156,0.9826982540122697,yumurta yapılan bir yemek tür
157,0.35552374072063686,tuta
158,0.9787293598087418,menengiç bir bitki
159,0.9653951383624915,kırılma zor olan cev çıtırık
160,0.9000508184573364,pamuk toh
161,0.602142244053326,yıkanmak
162,0.48127540921480966,serç
163,0.9767561643474024,küçük parça
164,0.9797460534406874,bir an
165,0.2242826611304755,sürahi
166,0.9841012906621778,i̇çi kalay küçük bakır bakraç litre su alır
